text,label
How do I order an official transcript for grad school?,Registrar
Where do I submit a degree audit request?,Registrar
What is the deadline to add a class this semester?,Registrar
How do I declare or change my major?,Registrar
Who do I contact about transfer credit evaluation?,Registrar
How can I get enrollment verification for my loan?,Registrar
What forms do I need to withdraw from a course?,Registrar
Is there a fee for replacing my diploma?,Registrar
When is the FAFSA deadline for next year?,Financial_Aid
How do I accept my financial aid offer in the portal?,Financial_Aid
Why was my Pell Grant reduced mid-semester?,Financial_Aid
Where can I find work-study job listings?,Financial_Aid
How do I submit documents for verification?,Financial_Aid
Can I appeal my financial aid package?,Financial_Aid
What loans are available for international students?,Financial_Aid
How do I set up a payment plan for tuition?,Financial_Aid
How do I apply for campus housing next year?,Housing
What is the process for a roommate change request?,Housing
When are move-in dates for the fall semester?,Housing
Who handles maintenance requests in the residence halls?,Housing
Can I stay on campus during winter break?,Housing
What items are prohibited in dorm rooms?,Housing
How do I check out at the end of the lease period?,Housing
Where do I pick up my mailbox key?,Housing
How do I reset my NetID password?,IT
Campus Wi-Fi keeps dropping on my laptop—who can help?,IT
How do I install Microsoft Office from the school license?,IT
Where do I report a phishing email claiming to be IT?,IT
How do I connect my game console to the network?,IT
What software is available in the computer labs?,IT
How do I set up two-factor authentication for email?,IT
My VPN will not connect from off campus.,IT
How do I change my meal plan mid-semester?,Dining
Where can I find allergen information for dining halls?,Dining
What are the dining hall hours during finals week?,Dining
How do I add dining dollars to my card?,Dining
Is there a vegetarian station in the main cafeteria?,Dining
How do I request a dietary accommodation?,Dining
Can guests pay cash at the dining hall?,Dining
Where is the late-night food option on campus?,Dining
How do I schedule a counseling appointment?,Health_Wellness
What vaccines are required for enrollment?,Health_Wellness
Where is the student health center located?,Health_Wellness
How do I waive the student health insurance?,Health_Wellness
Are flu shots free for students?,Health_Wellness
Who do I talk to about accessibility accommodations?,Health_Wellness
What mental health crisis resources are available 24/7?,Health_Wellness
How do I get a doctor's note for missing class?,Health_Wellness
