question,true_label,predicted_label,top1_confidence,top3
cocktail receptions,Dining,Registrar,0.3071884785797526,"Registrar, Dining, Housing"
what about greek cuisine in the u.s. and is it constantly rising?,Dining,Registrar,0.4686074749046198,"Registrar, Housing, Financial_Aid"
the last day to submit a request for review for matriculated and continuing students is march 15th of the spring semester.,Financial_Aid,Registrar,0.300084203878805,"Registrar, Financial_Aid, Housing"
fafsa (yale college’s code: 001426),Financial_Aid,Registrar,0.440926610354835,"Registrar, Financial_Aid, Housing"
"bridgeport hospital – milford campus, 300 seaside avenue, milford",Health_Wellness,Housing,0.2468239856619815,"Housing, Registrar, Dining"
designation of patient spokesperson,Health_Wellness,Registrar,0.3252614260345016,"Registrar, Housing, Financial_Aid"
seeking medical help/assistance if someone shows signs of alcohol poisoning.,Housing,Registrar,0.38189427110252055,"Registrar, Housing, Financial_Aid"
current full-time opportunities,Housing,Registrar,0.28227753052055,"Registrar, Housing, Financial_Aid"
quick start guide for instructors,IT,Registrar,0.30816201792859105,"Registrar, Housing, Financial_Aid"
certificate or non-academic program support staff,IT,Registrar,0.373327587110978,"Registrar, IT, Housing"
comprehensive feedback,Registrar,IT,0.2578224707798189,"IT, Registrar, Housing"
how long will i have access to canvas course sites if i place a course on my canvas worksheet?,Registrar,IT,0.5097709936810675,"IT, Registrar, Housing"
