category,url,source_name
Registrar,https://registrar.yale.edu/,Yale Registrar home
Registrar,https://registrar.yale.edu/registration/registration-faqs,Registration FAQs
Registrar,https://registrar.yale.edu/transcripts-and-certification,Transcripts and certification
Registrar,https://registrar.yale.edu/diplomas,Diplomas
Registrar,https://registrar.yale.edu/enrollment-verification,Enrollment verification
Registrar,https://registrar.yale.edu/yale-college-registration,Yale College registration hub
Registrar,https://registrar.yale.edu/registration/yale-college-registration/understanding-registration-error-messages,Registration error messages
Financial_Aid,https://finaid.yale.edu/,Undergraduate Financial Aid home
Financial_Aid,https://finaid.yale.edu/faq,Financial Aid FAQ
Financial_Aid,https://finaid.yale.edu/policies,Financial aid policies
Financial_Aid,https://finaid.yale.edu/terminology,Financial aid terminology
Financial_Aid,https://finaid.yale.edu/forms,Forms
Financial_Aid,https://finaid.yale.edu/apply,Apply for aid
Financial_Aid,https://finaid.yale.edu/estimate,Cost estimator
Financial_Aid,https://finaid.yale.edu/aboutus,About the office
Financial_Aid,https://finaid.yale.edu/summer-session-aid,Summer session aid
Housing,https://housing.yale.edu/welcome,Yale Housing welcome
Housing,https://housing.yale.edu/undergraduate-housing,Undergraduate housing
Housing,https://housing.yale.edu/graduate-housing,Graduate housing
Housing,https://housing.yale.edu/contact-us,Housing contact
Housing,https://housing.yale.edu/undergraduate-housing/undergraduate-housing-portal,Undergraduate housing portal
Housing,https://housing.yale.edu/graduate-housing/apply,Graduate housing apply
IT,https://help.canvas.yale.edu/,Canvas @ Yale help home
IT,https://canvas.yale.edu/support,Canvas @ Yale support
IT,https://help.canvas.yale.edu/recent,Recent Canvas help articles
Dining,https://hospitality.yale.edu/,Yale Hospitality home
Dining,https://hospitality.yale.edu/explore-meal-plans,Explore meal plans
Dining,https://hospitality.yale.edu/residential-dining,Residential dining
Dining,https://hospitality.yale.edu/full-meal-plan-information,Full meal plan information
Dining,https://hospitality.yale.edu/flex-meal-plan-information,Flex meal plan information
Dining,https://hospitality.yale.edu/connect-meal-plan-information,Connect meal plan information
Dining,https://hospitality.yale.edu/menus,Menus
Dining,https://hospitality.yale.edu/my-first-year-yale-what-do-i-need-know,First year dining guide
Health_Wellness,https://yalehealth.yale.edu/,Yale Health home
Health_Wellness,https://yalehealth.yale.edu/student-coverage,Student coverage
Health_Wellness,https://yalehealth.yale.edu/new-student-health-requirements,New student health requirements
Health_Wellness,https://yalehealth.yale.edu/topic/new-member-faqs,New member FAQs
Health_Wellness,https://yalehealth.yale.edu/topic/waiving-yale-health-hospitalization-specialty-care-coverage,Waiving coverage topic
Health_Wellness,https://yalehealth.yale.edu/department/student-health,Student Health department
Health_Wellness,https://yalehealth.yale.edu/forms-and-guidelines,Forms and guidelines
Health_Wellness,https://yalehealth.yale.edu/resources,Yale Health resources
