text,label,source_name,school,url
How do I order an official transcript for grad school?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
Where do I submit a degree audit request?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
What is the deadline to add a class this semester?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
How do I declare or change my major?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
Who do I contact about transfer credit evaluation?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
How can I get enrollment verification for my loan?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
What forms do I need to withdraw from a course?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
Is there a fee for replacing my diploma?,Registrar,Yale University Registrar,Yale,https://registrar.yale.edu/
When is the FAFSA deadline for next year?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I accept my financial aid offer in the portal?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Why was my Pell Grant reduced mid-semester?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Where can I find work-study job listings?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I submit documents for verification?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
Can I appeal my financial aid package?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
What loans are available for international students?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I set up a payment plan for tuition?,Financial_Aid,Undergraduate Financial Aid FAQ,Yale,https://finaid.yale.edu/faq
How do I apply for campus housing next year?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
What is the process for a roommate change request?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
When are move-in dates for the fall semester?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
Who handles maintenance requests in the residence halls?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
Can I stay on campus during winter break?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
What items are prohibited in dorm rooms?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
How do I check out at the end of the lease period?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
Where do I pick up my mailbox key?,Housing,Yale Housing,Yale,https://housing.yale.edu/welcome
How do I reset my NetID password?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
Campus Wi-Fi keeps dropping on my laptop—who can help?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
How do I install Microsoft Office from the school license?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
Where do I report a phishing email claiming to be IT?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
How do I connect my game console to the network?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
What software is available in the computer labs?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
How do I set up two-factor authentication for email?,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
My VPN will not connect from off campus.,IT,Canvas @ Yale Help,Yale,https://help.canvas.yale.edu/
How do I change my meal plan mid-semester?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
Where can I find allergen information for dining halls?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
What are the dining hall hours during finals week?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
How do I add dining dollars to my card?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
Is there a vegetarian station in the main cafeteria?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
How do I request a dietary accommodation?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
Can guests pay cash at the dining hall?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
Where is the late-night food option on campus?,Dining,Yale Hospitality,Yale,https://hospitality.yale.edu/
How do I schedule a counseling appointment?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
What vaccines are required for enrollment?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
Where is the student health center located?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
How do I waive the student health insurance?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
Are flu shots free for students?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
Who do I talk to about accessibility accommodations?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
What mental health crisis resources are available 24/7?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
How do I get a doctor's note for missing class?,Health_Wellness,Yale Health,Yale,https://yalehealth.yale.edu/
Explore our services,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Classrooms & Scheduling,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Commonly Asked Questions,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I get a transcript?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I get an enrollment verification?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I get a digital diploma or transcript?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I convert a grade to Credit/D/Fail?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How to Elect Credit/D/Fail,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I update my personal contact or emergency information?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How do I declare a major?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Where is my form in the approval process (when will it be approved)?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
How does a student obtain a spousal ID?,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Walk In Office Hours,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Registration Course registration and enrollment,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Student Records Maintains all academic records for the University,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Classrooms & Scheduling Classroom scheduling for Yale College and the Graduate School of Arts and Sciences,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"Diplomas Providing diplomas upon conferral, certified electronic services, and replacement diplomas.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
University Event and Academic Calendars,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Navigate to the “Academics” section.,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Select “Transcript Orders” to place your order.,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Select the Course Enrollment tab and click “Yale College Change Course from Letter Grade to Credit/D/Fail.”,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Change the drop-down selection from “YC – Letter Grade” to “Credit/D/Fail.”,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Click “Submit Changes” to save the conversion.,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"A confirmation of the change will be sent to your Yale email account. If you do not receive the confirmation email, your change was not processed. You can confirm all your course grading modes by viewing your “Course Schedule Details by Term” in Yale Hub.",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"Email and Phone Numbers for your personal information,",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
"Update Emergency Contacts, or",Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
A marriage certificate (in English),Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
A civil union document (only applicable for same-sex civil unions),Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
J-2 visa documents that include both spouses’ names,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
Passports that contain both spouses’ names,Registrar,Yale Registrar home,Yale,https://registrar.yale.edu/
